name,type,orbits,orbital_distance,orbital_period,,,,,
Sun,Star,-,-,-,,,,,
,,,,,,,,,
Mercury,Rock,Sun,57910,87.97,,,,,
Venus,Rock,Sun,108200,224.70,,,,,
Earth,Rock,Sun,149600,365.26,,,,,
Mars,Rock,Sun,227940,686.98,,,,,
Jupiter,Gas,Sun,778330,4332.71,,,,,
Saturn,Gas,Sun,1429400,10759.50,,,,,
Uranus,Gas,Sun,2870990,30685.00,,,,,
Neptune,Gas,Sun,4504300,60190.00,,,,,
Pluto,Ice,Sun,5913520,90550.00,,,,,
,,,,,,,,,
Moon,Rock,Earth,384,27.32,,,,,
,,,,,,,,,
Phobos,Rock,Mars,9,0.32,,,,,
Deimos,Rock,Mars,23,1.26,,,,,
,,,,,,,,,
Metis,Ice,Jupiter,128,0.29,,,,,
Adrastea,Ice,Jupiter,129,0.30,,,,,
Amalthea,Ice,Jupiter,181,0.50,,,,,
Thebe,Ice,Jupiter,222,0.67,,,,,
Io,Ice,Jupiter,422,1.77,,,,,
Europa,Ice,Jupiter,671,3.55,,,,,
Ganymede,Ice,Jupiter,1070,7.15,,,,,
Callisto,Ice,Jupiter,1883,16.69,,,,,
Leda,Ice,Jupiter,11094,238.72,,,,,
Himalia,Ice,Jupiter,11480,250.57,,,,,
Lysithea,Ice,Jupiter,11720,259.22,,,,,
Elara,Ice,Jupiter,11737,259.65,,,,,
Ananke,Ice,Jupiter,21200,-631.00,,,,,
Carme,Ice,Jupiter,22600,-692.00,,,,,
Pasiphae,Ice,Jupiter,23500,-735.00,,,,,
Sinope,Ice,Jupiter,23700,-758.00,,,,,
,,,,,,,,,
Pan,Ice,Saturn,134,0.58,,,,,
Atlas,Ice,Saturn,138,0.60,,,,,
Prometheus,Ice,Saturn,139,0.61,,,,,
Pandora,Ice,Saturn,142,0.63,,,,,
Epimetheus,Ice,Saturn,151,0.69,,,,,
Janus,Ice,Saturn,151,0.69,,,,,
Mimas,Ice,Saturn,186,0.94,,,,,
Enceladus,Ice,Saturn,238,1.37,,,,,
Tethys,Ice,Saturn,295,1.89,,,,,
Telesto,Ice,Saturn,295,1.89,,,,,
Calypso,Ice,Saturn,295,1.89,,,,,
Dione,Ice,Saturn,377,2.74,,,,,
Helene,Ice,Saturn,377,2.74,,,,,
Rhea,Ice,Saturn,527,4.52,,,,,
Titan,Ice,Saturn,1222,15.95,,,,,
Hyperion,Ice,Saturn,1481,21.28,,,,,
Iapetus,Ice,Saturn,3561,79.33,,,,,
Phoebe,Ice,Saturn,12952,-550.48,,,,,
,,,,,,,,,
Cordelia,Ice,Uranus,50,0.34,,,,,
Ophelia,Ice,Uranus,54,0.38,,,,,
Bianca,Ice,Uranus,59,0.43,,,,,
Cressida,Ice,Uranus,62,0.46,,,,,
Desdemona,Ice,Uranus,63,0.47,,,,,
Juliet,Ice,Uranus,64,0.49,,,,,
Portia,Ice,Uranus,66,0.51,,,,,
Rosalind,Ice,Uranus,70,0.56,,,,,
Belinda,Ice,Uranus,75,0.62,,,,,
Puck,Ice,Uranus,86,0.76,,,,,
Miranda,Ice,Uranus,130,1.41,,,,,
Ariel,Ice,Uranus,191,2.52,,,,,
Umbriel,Ice,Uranus,266,4.14,,,,,
Titania,Ice,Uranus,436,8.71,,,,,
Oberon,Ice,Uranus,583,13.46,,,,,
Caliban,Ice,Uranus,7169,-580.00,,,,,
Stephano,Ice,Uranus,7948,-674.00,,,,,
Sycorax,Ice,Uranus,12213,-1289.00,,,,,
Prospero,Ice,Uranus,16568,-2019.00,,,,,
Setebos,Ice,Uranus,17681,-2239.00,,,,,
,,,,,,,,,
,,,,,,,,,
Naiad,Ice,Neptune,48,0.29,,,,,
Thalassa,Ice,Neptune,50,0.31,,,,,
Despina,Ice,Neptune,53,0.33,,,,,
Galatea,Ice,Neptune,62,0.43,,,,,
Larissa,Ice,Neptune,74,0.55,,,,,
Proteus,Ice,Neptune,118,1.12,,,,,
Triton,Ice,Neptune,355,-5.88,,,,,
Nereid,Ice,Neptune,5513,360.13,,,,,
,,,,,,,,,
Charon,Ice,Pluto,20,6.39,,,,,
Nix,Ice,Pluto,49,24.86,,,,,
Hydra,Ice,Pluto,65,38.21,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
